x,y,z,r,g,b
-0.3,-0.3,0.1736666667,255,255,255
-0.18,-0.3,0.1736666667,255,255,255
-0.06,-0.3,0.1376666667,255,255,255
0.06,-0.3,0.1136666667,255,255,255
0.18,-0.3,0.1136666667,255,255,255
0.3,-0.3,0.0536666667,255,255,255
-0.3,-0.18,0.1616666667,255,255,255
-0.18,-0.18,0.1496666667,255,255,255
-0.06,-0.18,0.0896666667,255,255,255
0.06,-0.18,0.0536666667,255,255,255
0.18,-0.18,0.0416666667,255,255,255
0.3,-0.18,0.0296666667,255,255,255
-0.3,-0.06,0.1736666667,255,255,255
-0.18,-0.06,0.0896666667,255,255,255
-0.06,-0.06,0.0536666667,255,255,255
0.06,-0.06,0.0536666667,255,255,255
0.18,-0.06,0.0296666667,255,255,255
0.3,-0.06,-0.0903333333,255,255,255
-0.3,0.06,0.1376666667,255,255,255
-0.18,0.06,0.0416666667,255,255,255
-0.06,0.06,0.0656666667,255,255,255
0.06,0.06,0.0056666667,255,255,255
0.18,0.06,-0.0303333333,255,255,255
0.3,0.06,-0.3303333333,255,255,255
-0.3,0.18,0.0776666667,255,255,255
-0.18,0.18,0.0296666667,255,255,255
-0.06,0.18,0.0896666667,255,255,255
0.06,0.18,-0.1023333333,255,255,255
0.18,0.18,-0.2223333333,255,255,255
0.3,0.18,-0.4023333333,255,255,255
-0.3,0.3,0.0536666667,255,255,255
-0.18,0.3,0.0536666667,255,255,255
-0.06,0.3,0.0656666667,255,255,255
0.06,0.3,-0.2463333333,255,255,255
0.18,0.3,-0.4143333333,255,255,255
0.3,0.3,-0.4743333333,255,255,255
